name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_07_Date_20240926.tif,8.07943324573667,8.18037047488188,8.08497667343919,59,110014,0,0.0
ImgROI_0_Tile_08_Date_20240603.tif,8.36766210785825,8.39224805404581,8.358687373590094,25,126990,2575,3.93
ImgROI_0_Tile_08_Date_20240608.tif,5.325436302127701,5.33922548242169,5.255840006187127,33,59759,24598,37.53
ImgROI_0_Tile_08_Date_20240613.tif,8.15101720633447,8.228893992030638,8.119399892417409,19,132828,0,0.0
ImgROI_0_Tile_08_Date_20240618.tif,8.333779730989118,8.385635699538152,8.365637982824234,19,132818,0,0.0
ImgROI_0_Tile_08_Date_20240623.tif,0.9178690461273769,0.9503404894412818,0.9509548658333885,7,5970,62970,96.08
ImgROI_0_Tile_08_Date_20240628.tif,8.259505463287349,8.261475822310876,8.365881905921597,25,134324,0,0.0
ImgROI_0_Tile_08_Date_20240703.tif,0.8804079462434174,0.9089866105413016,0.923973296744852,15,4072,63421,96.77
ImgROI_0_Tile_08_Date_20240708.tif,8.356679821680805,8.434316457282831,8.371064683446907,21,130201,0,0.0
ImgROI_0_Tile_08_Date_20240713.tif,8.197728323394047,8.20724118530894,8.32668445152206,22,132851,0,0.0
ImgROI_0_Tile_08_Date_20240718.tif,8.373118655495416,8.451432664350184,8.440705019874235,25,137976,2070,3.16
ImgROI_0_Tile_08_Date_20240723.tif,8.292065725709627,8.226411364424802,8.298963487406878,19,130632,0,0.0
ImgROI_0_Tile_08_Date_20240728.tif,5.357155804455606,5.463427060797475,5.493976025310775,27,19484,24587,37.52
ImgROI_0_Tile_08_Date_20240802.tif,8.319598599443646,8.343733388930657,8.340334601156886,21,131140,0,0.0
ImgROI_0_Tile_08_Date_20240807.tif,8.452768482580487,8.561932475974077,8.536219997053445,21,132126,0,0.0
ImgROI_0_Tile_08_Date_20240812.tif,4.262677823404857,4.1637061874657935,4.201147447234235,22,62087,20666,31.53
